v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24
392,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,529000,0,335000,-0.5,-0.5,413948,451203,384972,94702474,7,2470
393,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,468500,0,373000,-0.5,-0.5,444413,466634,422192,94700914,7,2305
394,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,462500,0.5,387000,-0.5,1,462493,485618,434743,94700267,6,2164
395,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,325000,-0.5,-0.5,381509,400584,358618,94695815,7,0
396,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,431000,0,381000,-0.5,-0.5,459909,487504,436914,94695632,7,2303
397,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,437500,0,359000,-0.5,-0.5,428511,454222,402800,94702127,7,2312
398,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,436000,0,359000,-0.5,-0.5,431832,466379,405922,94699711,7,2324
399,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,481500,0.5,349000,-0.5,-0.5,423713,444899,402527,94699229,7,2465
400,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,459000,0,353736,-0.5,-0.5,458462,490554,426370,94639593,7,2305
401,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,400000,0,384000,-0.5,-0.5,454216,476927,431505,94698944,6,2282
402,2,2,-0.5,-1.5,1.5,-0.5,1,1,1.5,433000,1,390000,-0.5,1,499432,534392,469466,94698663,6,2031
403,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,533500,0.5,349000,-0.5,-0.5,421776,442865,400687,94696100,7,2374
404,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,380000,0.5,384000,-0.5,-0.5,514154,539862,478163,94701344,7,323
405,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,451000,0.5,382000,-0.5,-0.5,450633,473165,419089,94699908,7,2338
406,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,330000,0.5,343332,-0.5,-0.5,463954,487152,431477,94699341,7,1064
407,2,1.5,-0.5,-1.5,1.5,-0.5,1,1,1.5,436000,1,385000,-0.5,1,509349,539910,483882,94698851,5,1553
408,2,1,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,403000,0.5,359000,-0.5,1,495226,519987,460560,94700874,5,1606
409,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,437000,0.5,349000,-0.5,-0.5,417866,438759,396973,94700795,7,94
410,2,1.5,-0.5,-1.5,1.5,-0.5,1,1,1.5,332690,1,387000,-0.5,1,488537,512964,449454,94696475,7,1973
411,2,2,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,432000,0.5,428000,-0.5,1,545075,572329,512370,94696039,4,1533
412,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,430500,0.5,382000,-0.5,1,539925,566921,512929,94698362,5,1592
413,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,418000,0.5,339000,-0.5,-0.5,422667,456480,384627,94700610,7,2296
414,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,390000,0.5,405756,-0.5,-0.5,471880,495474,443567,94696171,7,1219
415,2,1,-0.5,-1.5,1.5,-0.5,1,1,1.5,420000,1,370000,-0.5,1,497373,532189,467531,94697016,4,1541
416,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,450000,0,385614,-0.5,-0.5,395028,414779,367376,94697769,7,2452
417,2,2,-0.5,-1.5,1.5,-0.5,1,1,1.5,439500,1,434000,-0.5,1,563314,591480,535148,94700954,5,1582
418,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,470000,0.5,386000,-0.5,-0.5,469861,493354,441669,94701678,7,2358
419,2,1,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,396500,0.5,359000,-0.5,1,494157,518865,459566,94699930,5,1633
420,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,579500,0.5,384000,-0.5,-0.5,445423,467694,418698,94700281,7,2401
421,2,1.5,-0.5,-1.5,1.5,-0.5,1,0,1.5,400000,0,348000,-0.5,1,428392,449812,398405,94701596,6,2141
422,2,2,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,440000,0.5,386000,-0.5,1,472599,496229,439517,94701736,6,2151
423,2,2,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,449500,0.5,433000,-0.5,1,519751,545739,488566,94699703,5,1693
424,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,577500,0.5,383000,-0.5,-0.5,447673,474533,425289,94700963,7,2478
425,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,420000,0.5,384000,-0.5,-0.5,445171,467430,422912,94701248,7,2292
426,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,395000,0.5,348000,-0.5,-0.5,410960,439727,382193,94697525,6,2275
427,2,2,-0.5,-1.5,1.5,-0.5,1,0,1.5,453500,0,386000,-0.5,1,465380,493303,432803,94702021,6,2128
428,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,397500,0.5,349000,-0.5,1,420683,441717,395442,94698657,6,2038
429,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,466500,0.5,349000,-0.5,1,411950,440787,378994,94702940,6,2136
430,-0.5,2,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,493500,0.5,386000,-0.5,-0.5,473423,506563,440283,94700388,7,2303
431,2,1.5,-0.5,-1.5,1.5,-0.5,1,1,1.5,420000,1,436968,-0.5,1,493481,518155,458937,79573272,8,1071
432,-0.5,1,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,406000,0,359000,-0.5,-0.5,432100,462347,406174,94699057,6,2267
433,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,300000,0.5,306000,-0.5,-0.5,419938,449334,390542,94698651,7,710
