v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24,v25
14268,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,890000,1,88252,-0.5,1,791202,862410,751642,19762881,48,166,1
14269,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,395000,-2,301000,0.5,1,412215,436948,379238,19807785,26,2091,1
14270,2,2,-0.5,-2,0.5,-0.5,1,0.5,2,827100,0.5,647000,-0.5,1,839092,906219,788746,19605326,54,166,1
14271,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,460000,0.5,292887,-0.5,1,441018,476299,401326,19726871,55,166,1
14272,2,1.5,-0.5,-2,0.5,-0.5,1,1,2,1235000,1,513273,-0.5,1,1246873,1359092,1109717,19673853,64,166,1
14273,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,936000,0.5,418886,-0.5,1,867418,936811,798025,19695275,6,166,1
14274,2,0,-0.5,-2,0.5,-0.5,1,-2,2,433000,-2,214132,1,1,466483,503802,415170,19769105,39,166,1
14275,2,-0.5,-1.5,-2,0.5,-0.5,1,0.5,2,560000,0.5,51464,2,1,604463,676999,550061,19577558,55,166,1
14276,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,350000,0.5,153601,-0.5,1,395961,447436,348446,19727821,36,166,1
14277,2,-0.5,-0.5,-2,0.5,-0.5,1,1,2,665000,1,415615,-0.5,1,671497,731932,617777,19584696,64,166,0
14278,2,1,-0.5,-2,0.5,-0.5,1,-2,2,550000,-2,381000,1,1,546472,579260,508219,63065859,11,166,1
14279,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,635000,0.5,447000,-0.5,1,633869,665562,589498,19565295,38,166,1
14280,2,1,-0.5,-2,0.5,-0.5,1,1.5,2,1030000,1.5,830858,-0.5,1,963473,1059820,838222,54772850,15,166,1
14281,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,791000,0.5,450000,-0.5,1,758361,819030,697692,19690418,57,166,1
14282,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,625000,0.5,561000,-0.5,1,680182,755002,646173,19697866,52,166,1
14283,2,1.5,-0.5,-2,0.5,-0.5,1,-1.5,2,605000,-1.5,402000,-0.5,1,596814,632623,543101,82948000,7,166,1
14284,2,-0.5,-1.5,-2,0.5,-0.5,1,0.5,2,783000,0.5,429675,2,1,805643,870094,717022,19607881,53,166,1
14285,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,578000,-2,290786,-0.5,1,545169,594234,496104,19563568,20,166,1
14286,2,1,-0.5,-2,0.5,-0.5,1,-2,2,705000,-2,565000,0.5,1,689201,737445,647849,54772171,14,166,1
14287,2,0.5,-0.5,-2,0.5,-0.5,1,-0.5,2,662000,-0.5,393000,0.5,1,627257,664892,589622,19688822,37,166,1
14288,2,1,-0.5,-2,0.5,-0.5,1,-1.5,2,640000,-1.5,522000,-0.5,1,588108,635157,535178,19489416,23,166,1
14289,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,547000,0.5,389000,-0.5,1,562019,606981,533918,19707160,45,166,1
14290,2,1,-0.5,-2,0.5,-0.5,1,0.5,2,896000,0.5,318984,-0.5,1,877405,938823,824761,19691803,53,166,1
14291,2,-0.5,-0.5,-2,0.5,-0.5,1,1,2,1200000,1,716500,-0.5,1,1039720,1164486,925351,19680836,92,166,1
14292,2,0.5,-1.5,-2,0.5,-0.5,1,-2,2,441000,-2,338000,0.5,1,447681,492449,425297,63065235,10,166,1
14293,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,740000,0.5,276661,-0.5,1,763322,809121,717523,19759132,47,166,1
14294,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,787000,0.5,82363,-0.5,1,589451,677869,518717,19696003,41,166,0
